TUMORKEY	METASTASISKEY	METASTASISORGAN
31589	31590	Lung
31589	31591	Pancreas
31619	31620	(Unspecified organ)
31623	31624	Intestine
31630	31631	CNS - Brain - Cerebellum
31655	31656	Liver
31655	31657	Lung
31655	31658	Spleen
31660	31661	Lymph node
31674	31675	Lymph node
31674	31676	Blood
31726	31753	Lymph node
31726	31754	Liver
31726	31755	Lung
31726	31758	Sex cord stromal cell (sex not specified)
31726	31759	Liver
31969	31970	(Unspecified organ)
31978	31979	(Unspecified organ)
31982	31983	(Unspecified organ)
32112	32113	(Unspecified organ)
32121	32122	(Unspecified organ)
32129	32130	(Unspecified organ)
32165	32166	(Unspecified organ)
32178	32179	(Unspecified organ)
32186	32187	(Unspecified organ)
32188	32189	(Unspecified organ)
32192	32193	Lymph node
32198	32199	Liver
32198	32200	(Unspecified organ)
32207	32208	(Unspecified organ)
32209	32210	(Unspecified organ)
32213	32214	Lymph node
32218	32219	Lung
32223	32224	(Unspecified organ)
32234	32235	(Unspecified organ)
32315	32316	Salivary gland
32315	32317	Liver
32315	32318	Kidney
32315	32319	Adrenal gland
32315	32320	Heart
32315	32321	Lung
32315	32322	Thyroid gland
32315	32323	Pancreas
32315	32324	Pituitary gland
32315	32325	Testis
32315	32326	Seminal vesicle
32369	32370	Salivary gland
32369	32371	Ovary
32369	32372	Kidney
32369	32373	Uterus
32369	32374	Heart
32369	32375	Liver
32369	32376	Pancreas
32369	32377	Pituitary gland
32369	32378	Epididymis
32369	32379	Eye
32369	32380	Gallbladder
32369	32381	Parathyroid gland
32369	32382	Prostate gland
32369	32383	Intestine - Small Intestine
32369	32384	Testis
32369	32385	Thyroid gland
32369	32386	Adrenal gland
32369	32387	Lung
32369	32388	Seminal vesicle
32400	32402	Lung
32422	32423	Salivary gland
32422	32424	Liver
32422	32425	Kidney
32422	32426	Adrenal gland
32422	32427	Heart
32422	32428	Lung
32422	32429	Thyroid gland
32422	32430	Pancreas
32422	32431	Pituitary gland
32422	32432	Testis
32422	32433	Seminal vesicle
32440	32441	Muscle - Striated - Cardiac
32448	32449	Lymph node
32456	32457	Salivary gland
32456	32458	Ovary
32456	32459	Kidney
32456	32460	Uterus
32456	32461	Heart
32456	32462	Liver
32456	32463	Pancreas
32456	32464	Pituitary gland
32456	32465	Epididymis
32456	32466	Eye
32456	32467	Gallbladder
32456	32468	Parathyroid gland
32456	32469	Prostate gland
32456	32470	Intestine - Small Intestine
32456	32471	Testis
32456	32472	Thyroid gland
32498	32499	Lung
32512	32513	Lung
32526	32527	Lung
32575	32576	Peritoneum
32575	32577	Lymph node
32799	32800	Lung
32809	32810	Kidney
32809	32811	Liver
32809	32812	Lung
32809	32813	Intestine
33061	33060	Pancreas
33061	33062	Intestine
33061	33063	Kidney
33061	33064	Liver
33061	33065	Peritoneal cavity
33061	33066	Peritoneal cavity
33205	33206	Lymph node
33213	33214	Lymph node
33324	33325	Liver
33329	33330	Liver
33329	33331	Kidney
33329	33332	Lung
33329	33333	Adipose tissue
33329	33334	Testis
33329	33335	Salivary gland
33342	33343	Stomach
33342	33344	Intestine - Small Intestine
33342	33345	Salivary gland
33342	33346	Liver
33342	33347	Lung
33342	33348	Kidney
33342	33349	Pancreas
33342	33350	Spleen
33342	33351	Bone marrow
33342	33352	Adipose tissue
33342	33353	Lymph node
33342	33354	PNS - Ganglion - Dorsal root
33390	33407	Lymph node
33391	33408	Lymph node - sacral
33392	33410	Liver
33393	33411	Lymph node - inguinal
33393	33412	Lymph node - cervical
33393	33413	Liver
33394	33414	Lymph node - cervical
33399	33416	Lymph node - cervical
33401	33418	Lymph node - inguinal
33401	33419	Lung
33402	33420	Lymph node - cervical
33402	33421	Lung
33426	33440	Liver
33426	33441	Lung
33428	33442	Lymph node - axillary
33428	33443	Lymph node - brachial
33428	33444	Lung
33429	33445	Lymph node - inguinal
33429	33446	Liver
33430	33447	Lymph node - axillary
33430	33448	Lung
33432	33449	Lung
33434	33452	Lung
33435	33453	Lymph node - inguinal
33454	33458	Lymph node
33454	33459	Lung
33456	33460	Lymph node - inguinal
33456	33461	Lung
33457	33462	Lung
33574	33604	Lymph node
33574	33605	Lung
33574	33606	Gastrointestinal tract
33574	33607	Liver
33574	33608	Pancreas
33579	33602	Lung
33579	33603	Lymph node
33585	33609	Lymph node
33585	33610	Lung
33585	33611	Liver
33585	33612	Urinary Bladder
33931	33932	CNS - Spinal cord
34055	34057	(Unspecified organ)
34055	34058	Liver
34063	34064	(Unspecified organ)
34065	34066	CNS - Brain
34067	34068	(Unspecified organ)
34176	34177	Lung
34182	34186	Lung
34183	34187	Lung
34184	34188	Lung
34185	34189	Lung
34215	34217	Lung
34215	34219	Lung
34216	34218	Lung
34216	34220	Lung
34222	34223	CNS - Brain
34222	34224	Lymph node
34226	34227	Lymph node
34226	34228	CNS - Brain
34226	34229	Nerve - Optic
34262	34263	Peritoneal cavity
34270	34271	Peritoneal cavity
34270	34272	Lymph node
34273	34274	Peritoneal cavity
34276	34277	Peritoneal cavity
34276	34278	Lymph node
34281	34282	Peritoneal cavity
34281	34283	Spleen
34281	34284	Lymph node
34286	34287	Peritoneal cavity
34286	34288	Lymph node
34291	34292	Peritoneal cavity
34293	34294	Peritoneal cavity
34295	34296	Peritoneal cavity
34304	34306	Lung
34345	34346	(Unspecified organ)
34345	34347	Seminal vesicle
34570	34571	(Unspecified organ)
34570	34572	Lymph node - mediastinal
34570	34573	Heart
34570	34574	Pleura - Parietal
34570	34575	Muscle - Striated - Skeletal - Diaphragm
34570	34576	Liver
34570	34577	Adrenal gland
34570	34578	Kidney
34570	34579	Lymph node - mesentery
34570	34580	Pancreas
34570	34581	Eye
34570	34582	Body wall
34570	34583	Mammary gland
34586	34587	Lung
34598	34599	(Unspecified organ)
34598	34600	Lymph node - mediastinal
34598	34601	Heart
34598	34602	Pleura - Parietal
34598	34603	Muscle - Striated - Skeletal - Diaphragm
34598	34604	Liver
34598	34605	Adrenal gland
34598	34606	Kidney
34598	34607	Lymph node - mesentery
34598	34608	Pancreas
34598	34609	Eye
34598	34610	Body wall
34598	34611	Mammary gland
34613	34614	Lung
34642	34643	Lymph node - mediastinal
34642	34644	Liver
34642	34645	Pancreas
34642	34646	Ovary
34642	34647	Connective tissue
34642	34648	Adipose tissue
34650	34651	Lung
34661	34662	(Unspecified organ)
34711	34712	Heart
34711	34713	Lymph node
34711	34714	Kidney
34719	34720	Lymph node
34721	34722	CNS - Brain - Olfactory bulb
34726	34727	Lymph node
34728	34729	CNS - Brain - Olfactory bulb
34745	34746	Liver
34793	34794	(Unspecified organ)
34813	34814	(Unspecified organ)
34898	34899	Lung
34898	34900	Liver
35283	35285	Lung
35799	35800	Lymph node
35802	35803	Lymph node
35955	35956	(Unspecified organ)
35957	35958	(Unspecified organ)
35968	35969	(Unspecified organ)
35973	35974	(Unspecified organ)
35978	35979	(Unspecified organ)
35985	35986	(Unspecified organ)
35989	35990	(Unspecified organ)
35992	35993	(Unspecified organ)
35994	35995	(Unspecified organ)
36031	36032	Lymph node
36031	36033	Spleen
36031	36034	Kidney
36043	36044	Lung
36045	36046	Lung
36051	36052	Lung
36059	36060	Lung
36155	36156	(Unspecified organ)
36161	36162	(Unspecified organ)
36165	36166	(Unspecified organ)
36170	36171	(Unspecified organ)
36174	36175	(Unspecified organ)
36178	36179	Lung
36178	36180	Lymph node
36181	36182	Liver
36181	36183	Lung
36181	36184	Kidney
36186	36187	Lung
36186	36188	Lymph node
36225	36226	(Unspecified organ)
36229	36230	(Unspecified organ)
36231	36232	(Unspecified organ)
36233	36234	(Unspecified organ)
36235	36236	(Unspecified organ)
36238	36239	Lung
36238	36240	Liver
36238	36241	Mediastinum
36355	36356	Lymph node
36355	36357	Liver
36355	36358	Lung
36371	36372	Lung
36371	36373	Liver
36371	36374	Adrenal gland
36371	36375	Lymph node
36371	36376	Bone
36378	36379	Lung
36378	36380	Liver
36378	36381	Adrenal gland
36378	36382	Lymph node
36699	36703	Lung
36699	36705	Heart
36700	36704	Lung
36700	36706	Heart
37173	37177	Lung
37194	37195	Lung
